,id,contributors,day,score,temperature_deviation,temperature_trend_deviation,timestamp
0,35cda3b6-ca88-4c4d-aef0-9a0baf771eb2,"{'activity_balance': 98, 'body_temperature': 90, 'hrv_balance': 73, 'previous_day_activity': 83, 'previous_night': 89, 'recovery_index': 76, 'resting_heart_rate': 99, 'sleep_balance': 84}",2025-03-05,86,0.18,0.14,2025-03-05T00:00:00+00:00
1,85ed9f64-52eb-46b6-b6b5-7cd37e2d3b4b,"{'activity_balance': 97, 'body_temperature': 99, 'hrv_balance': 84, 'previous_day_activity': 84, 'previous_night': 83, 'recovery_index': 68, 'resting_heart_rate': 99, 'sleep_balance': 75}",2025-03-06,85,0.08,0.16,2025-03-06T00:00:00+00:00
2,bce6197a-368d-4c13-9400-c18049ec5c55,"{'activity_balance': 96, 'body_temperature': 67, 'hrv_balance': 71, 'previous_day_activity': 84, 'previous_night': 89, 'recovery_index': 76, 'resting_heart_rate': 91, 'sleep_balance': 87}",2025-03-07,80,0.46,0.29,2025-03-07T00:00:00+00:00
3,a7e9db24-4be3-4059-a481-54cdbaf53350,"{'activity_balance': 96, 'body_temperature': 74, 'hrv_balance': 79, 'previous_day_activity': 80, 'previous_night': 45, 'recovery_index': 14, 'resting_heart_rate': 82, 'sleep_balance': 65}",2025-03-08,68,0.38,0.28,2025-03-08T00:00:00+00:00
4,58c92c87-cc7a-4972-abd7-acf89be2aa61,"{'activity_balance': 69, 'body_temperature': 88, 'hrv_balance': 72, 'previous_day_activity': 48, 'previous_night': 61, 'recovery_index': 88, 'resting_heart_rate': 33, 'sleep_balance': 84}",2025-03-09,66,0.21,0.25,2025-03-09T00:00:00+00:00
5,405223b8-89db-4506-9d7e-8fa6d43ada8b,"{'activity_balance': 95, 'body_temperature': 93, 'hrv_balance': 61, 'previous_day_activity': 92, 'previous_night': 65, 'recovery_index': 29, 'resting_heart_rate': 17, 'sleep_balance': 72}",2025-03-10,62,0.15,0.35,2025-03-10T00:00:00+00:00
6,152ee6fa-bdd0-4320-b612-5dad84488242,"{'activity_balance': 74, 'body_temperature': 100, 'hrv_balance': 74, 'previous_day_activity': 86, 'previous_night': 76, 'recovery_index': 51, 'resting_heart_rate': 68, 'sleep_balance': 72}",2025-03-11,72,-0.09,0.19,2025-03-11T00:00:00+00:00
7,e13c628c-58e6-4edd-9f68-aca14bcba7d5,"{'activity_balance': 73, 'body_temperature': 100, 'hrv_balance': 59, 'previous_day_activity': 95, 'previous_night': 100, 'recovery_index': 100, 'resting_heart_rate': 94, 'sleep_balance': 79}",2025-03-12,84,0.01,0.15,2025-03-12T00:00:00+00:00
8,dc0efe10-ef57-4dd0-96d8-ceec0a4896fb,"{'activity_balance': 67, 'body_temperature': 88, 'hrv_balance': 48, 'previous_day_activity': 79, 'previous_night': 33, 'recovery_index': 8, 'resting_heart_rate': 52, 'sleep_balance': 58}",2025-03-13,52,0.2,0.16,2025-03-13T00:00:00+00:00
9,f0308070-1504-4e67-9b19-2244649a37bf,"{'activity_balance': 79, 'body_temperature': 81, 'hrv_balance': 61, 'previous_day_activity': 99, 'previous_night': 76, 'recovery_index': 100, 'resting_heart_rate': 62, 'sleep_balance': 80}",2025-03-14,77,0.29,0.12,2025-03-14T00:00:00+00:00
10,6919e441-ed46-483d-bd6d-356f3c15a7a6,"{'activity_balance': 79, 'body_temperature': 83, 'hrv_balance': 59, 'previous_day_activity': 86, 'previous_night': 87, 'recovery_index': 100, 'resting_heart_rate': 88, 'sleep_balance': 70}",2025-03-15,80,0.27,0.19,2025-03-15T00:00:00+00:00
11,3284b3ee-7e98-43e6-bf10-209d2eec9c2a,"{'activity_balance': 80, 'body_temperature': 100, 'hrv_balance': 58, 'previous_day_activity': 79, 'previous_night': 60, 'recovery_index': 94, 'resting_heart_rate': 79, 'sleep_balance': 62}",2025-03-16,72,0.03,0.19,2025-03-16T00:00:00+00:00
12,4d816fbb-73ce-48ca-b201-721cc37b830a,"{'activity_balance': 82, 'body_temperature': 100, 'hrv_balance': 59, 'previous_day_activity': 85, 'previous_night': 85, 'recovery_index': 60, 'resting_heart_rate': 63, 'sleep_balance': 76}",2025-03-17,73,0.0,0.21,2025-03-17T00:00:00+00:00
13,d8bd1e39-219c-4a4a-b93b-6b8c955ee7f4,"{'activity_balance': 89, 'body_temperature': 100, 'hrv_balance': 71, 'previous_day_activity': 92, 'previous_night': 85, 'recovery_index': 98, 'resting_heart_rate': 80, 'sleep_balance': 70}",2025-03-18,82,-0.14,0.1,2025-03-18T00:00:00+00:00
14,4d5aca36-f6c6-402b-b6d0-f860d62242d8,"{'activity_balance': 86, 'body_temperature': 100, 'hrv_balance': 69, 'previous_day_activity': 84, 'previous_night': 99, 'recovery_index': 88, 'resting_heart_rate': 100, 'sleep_balance': 76}",2025-03-19,85,-0.12,0.01,2025-03-19T00:00:00+00:00
15,965da494-1953-42cd-9c28-7ed349ac0cba,"{'activity_balance': 92, 'body_temperature': 100, 'hrv_balance': 71, 'previous_day_activity': 82, 'previous_night': 58, 'recovery_index': 100, 'resting_heart_rate': 79, 'sleep_balance': 72}",2025-03-20,77,-0.03,0.0,2025-03-20T00:00:00+00:00
16,f90b4bf5-0097-497d-ac8e-cf9076f5680e,"{'activity_balance': 87, 'body_temperature': 85, 'hrv_balance': 76, 'previous_day_activity': 85, 'previous_night': 71, 'recovery_index': 92, 'resting_heart_rate': 63, 'sleep_balance': 80}",2025-03-21,78,0.24,0.06,2025-03-21T00:00:00+00:00
17,e723a92e-bfec-403d-96e0-216933b2475a,"{'activity_balance': 92, 'body_temperature': 78, 'hrv_balance': 56, 'previous_day_activity': 80, 'previous_night': 42, 'recovery_index': 22, 'resting_heart_rate': 80, 'sleep_balance': 76}",2025-03-22,65,0.33,0.12,2025-03-22T00:00:00+00:00
18,45c6eb41-1933-474d-9190-0e690aaf8dab,"{'activity_balance': 93, 'body_temperature': 98, 'hrv_balance': 74, 'previous_day_activity': 94, 'previous_night': 73, 'recovery_index': 78, 'resting_heart_rate': 55, 'sleep_balance': 77}",2025-03-23,76,-0.19,0.01,2025-03-23T00:00:00+00:00
19,3a1cc5b9-0964-4345-b635-c1a27b6d46b4,"{'activity_balance': 90, 'body_temperature': 95, 'hrv_balance': 58, 'previous_day_activity': 86, 'previous_night': 80, 'recovery_index': 76, 'resting_heart_rate': 73, 'sleep_balance': 82}",2025-03-24,77,0.12,0.25,2025-03-24T00:00:00+00:00
20,ee5e8953-93fe-406f-80c3-2cf05002d5e7,"{'activity_balance': 96, 'body_temperature': 100, 'hrv_balance': 57, 'previous_day_activity': 82, 'previous_night': 85, 'recovery_index': 68, 'resting_heart_rate': 81, 'sleep_balance': 80}",2025-03-25,78,-0.02,0.13,2025-03-25T00:00:00+00:00
21,dc948fa4-5174-407d-858d-a9ed63dcc728,"{'activity_balance': 93, 'body_temperature': 100, 'hrv_balance': 65, 'previous_day_activity': 88, 'previous_night': 44, 'recovery_index': 1, 'resting_heart_rate': 90, 'sleep_balance': 75}",2025-03-26,67,-0.16,-0.05,2025-03-26T00:00:00+00:00
22,77b53e05-6607-4efa-a5bd-ccdfefaee0ef,"{'activity_balance': 98, 'body_temperature': 89, 'hrv_balance': 64, 'previous_day_activity': 89, 'previous_night': 44, 'recovery_index': 62, 'resting_heart_rate': 98, 'sleep_balance': 70}",2025-03-27,74,0.2,0.17,2025-03-27T00:00:00+00:00
23,e296ab9e-66b6-4a4a-b139-80a55ab1225b,"{'activity_balance': 99, 'body_temperature': 88, 'hrv_balance': 63, 'previous_day_activity': 83, 'previous_night': 78, 'recovery_index': 87, 'resting_heart_rate': 90, 'sleep_balance': 82}",2025-03-28,82,0.21,0.1,2025-03-28T00:00:00+00:00
24,a5bd2033-e851-4713-9b7c-234355c4b6df,"{'activity_balance': 98, 'body_temperature': 100, 'hrv_balance': 79, 'previous_day_activity': 82, 'previous_night': 63, 'recovery_index': 71, 'resting_heart_rate': 100, 'sleep_balance': 66}",2025-03-29,79,-0.05,0.0,2025-03-29T00:00:00+00:00
25,92c84dc2-165e-42df-a1e6-e6eabcb9bdf9,"{'activity_balance': 82, 'body_temperature': 87, 'hrv_balance': 61, 'previous_day_activity': 68, 'previous_night': 39, 'recovery_index': 35, 'resting_heart_rate': 55, 'sleep_balance': 70}",2025-03-30,60,0.23,0.25,2025-03-30T00:00:00+00:00
26,83e2875d-467e-469e-99eb-77335d4e1f67,"{'activity_balance': 97, 'body_temperature': 78, 'hrv_balance': 81, 'previous_day_activity': 85, 'previous_night': 65, 'recovery_index': 82, 'resting_heart_rate': 81, 'sleep_balance': 70}",2025-03-31,79,0.33,0.25,2025-03-31T00:00:00+00:00
